NP|<VBN-QP--NONE-> ==> VBN NP|<QP--NONE-> [1.0]
VP ==> VBZ VP|<ADJP-PP> [5.52677029361E-4]
NP ==> LST NP|<JJ-JJ-NN-.> [3.24685866424E-5]
VP|<CC-VP-ADVP> ==> CC VP|<VP-ADVP> [1.0]
PP|<CONJP-PP> ==> CONJP PP [1.0]
S ==> ADVP S|<,-``-NP-VP> [1.05630083448E-4]
PP|<CC-RB-PP> ==> CC PP|<RB-PP> [1.0]
NP|<JJ-NN-QP> ==> JJ NP|<NN-QP> [1.0]
PRN|<CC-VP-:> ==> CC PRN|<VP-:> [1.0]
NP|<CC-``-NP> ==> CC NP|<``-NP> [1.0]
VP ==> VBD PP [0.00759930915371]
S ==> NP S|<ADVP-VP-.> [0.0125699799303]
PP ==> VBG PP|<PRN-NP> [1.07273117357E-4]
NP|<NN-ADJP-NN> ==> NN NP|<ADJP-NN> [1.0]
VP|<RB-ADVP-ADJP-ADVP> ==> RB VP|<ADVP-ADJP-ADVP> [1.0]
VP|<PP-,-PP-SBAR> ==> PP VP|<,-PP-SBAR> [1.0]
VP|<VBD-NP-SBAR> ==> VBD VP|<NP-SBAR> [1.0]
NP ==> VBG NP|<NN-NNS> [6.49371732848E-5]
NP ==> ADJP NP|<NN-QP> [3.24685866424E-5]
UCP|<PP-,-CC-SBAR> ==> PP UCP|<,-CC-SBAR> [1.0]
ADVP|<DT-NN> ==> DT NN [1.0]
NP|<CD-NN-NN-NN> ==> CD NP|<NN-NN-NN> [1.0]
QP ==> JJR QP|<IN-CD-CD> [0.00379746835443]
S|<,-S-,-ADVP-VP-.> ==> , S|<S-,-ADVP-VP-.> [1.0]
VP|<,-ADVP-PP> ==> , VP|<ADVP-PP> [1.0]
VP|<,-ADVP-,-NP-PP> ==> , VP|<ADVP-,-NP-PP> [1.0]
VP ==> VBZ VP|<,-``-FRAG> [6.90846286701E-5]
ADJP|<VBN-PP> ==> VBN PP [1.0]
PRN|<VP-:> ==> VP : [1.0]
NAC ==> NNP JJ [0.0196078431373]
VP|<,-NP-PP> ==> , VP|<NP-PP> [1.0]
NP ==> DT NP|<JJ-``-JJ-NN-''-NN> [3.24685866424E-5]
NP|<NNP-NNP-NNP-CD> ==> NNP NP|<NNP-NNP-CD> [1.0]
NP|<CC-NNP-NNPS-NNP-NN> ==> CC NP|<NNP-NNPS-NNP-NN> [1.0]
VP|<PRT-NP-S> ==> PRT VP|<NP-S> [1.0]
S ==> CC S|<NP-ADVP-VP> [2.11260166896E-4]
S ==> `` S|<S-,-S-,-CC-S-.-''> [1.05630083448E-4]
NP ==> NP NP|<,-VP-,> [8.76651839345E-4]
VP ==> VB VP|<,-NP-,-PP> [6.90846286701E-5]
VP ==> VBZ VP|<NP-PP-ADVP> [6.90846286701E-5]
NP|<,-ADJP-,-VP-.> ==> , NP|<ADJP-,-VP-.> [1.0]
S ==> S S|<,-S-.> [2.11260166896E-4]
NP|<DT-NN-S> ==> DT NP|<NN-S> [1.0]
ADVP|<RB-PP> ==> RB PP [1.0]
NP|<NN-JJ-JJ-JJ-NN-NNS> ==> NN NP|<JJ-JJ-JJ-NN-NNS> [1.0]
NP ==> NP NP|<:-SBAR> [3.24685866424E-5]
ADVP ==> RB ADVP|<,-RB-CC-RB> [5.359056806E-4]
WHNP|<NNS-CC-NNS> ==> NNS WHNP|<CC-NNS> [1.0]
S ==> NP S|<RB-VP-.> [1.05630083448E-4]
NP|<CC-NNP-POS> ==> CC NP|<NNP-POS> [1.0]
NP ==> DT NP|<ADJP-NN-NNS> [9.74057599273E-5]
NP ==> JJ NP|<NNP-NNP-NN-NNP> [3.24685866424E-5]
VP ==> VB VP|<NP-PP-:-PP-:-S> [6.90846286701E-5]
SBAR ==> WHNP SBAR|<``-S> [0.00132684652808]
PP|<``-IN-NP> ==> `` PP|<IN-NP> [1.0]
VP ==> VBD VP|<PP-ADVP> [3.45423143351E-4]
NP ==> # NP|<CD--NONE-> [3.24685866424E-5]
NP|<NNP-NNP-ADJP-NNS> ==> NNP NP|<NNP-ADJP-NNS> [1.0]
SINV|<VP-NP-.-''> ==> VP SINV|<NP-.-''> [1.0]
S ==> NP S|<ADJP-NP> [1.05630083448E-4]
NP|<CC-NN-JJ-NN> ==> CC NP|<NN-JJ-NN> [1.0]
SINV|<S-,-''-VP-NP-.> ==> S SINV|<,-''-VP-NP-.> [1.0]
VP ==> VBZ VP|<S-S> [2.0725388601E-4]
SBAR|<WHADVP-S> ==> WHADVP S [1.0]
ADJP|<JJ-CC-JJ> ==> JJ ADJP|<CC-JJ> [1.0]
VP|<``-NP-''-PP-SBAR> ==> `` VP|<NP-''-PP-SBAR> [1.0]
S|<INTJ-NP-VP> ==> INTJ S|<NP-VP> [1.0]
VP ==> VBZ VP|<NP-:-``-SBARQ-''> [6.90846286701E-5]
VP ==> VBN VP|<NP-PP-,-ADVP> [1.3816925734E-4]
QP ==> CD QP|<IN-CD> [0.00253164556962]
NP|<NN-NNP> ==> NN NNP [1.0]
SQ|<NP-ADVP-VP> ==> NP SQ|<ADVP-VP> [1.0]
FRAG|<:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-.> ==> : FRAG|<FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-:-FRAG-.> [1.0]
VP|<,-PP-,-NP-PP> ==> , VP|<PP-,-NP-PP> [1.0]
NP|<,-NP-,-NP-,-NP-,-NP-,-CC-NP> ==> , NP|<NP-,-NP-,-NP-,-NP-,-CC-NP> [1.0]
NP ==> VBG NP|<JJ-NN-CC-NN-NNS> [3.24685866424E-5]
NP|<DT-JJ-NN-NN> ==> DT NP|<JJ-NN-NN> [1.0]
NP ==> PRP$ NP|<JJS-JJ-NNS> [3.24685866424E-5]
S|<NP-,-S-,-VP-.> ==> NP S|<,-S-,-VP-.> [1.0]
ADJP ==> IN S [8.09061488673E-4]
NP|<ADVP-SBAR> ==> ADVP SBAR [1.0]
S|<PRN-,-NP-VP-.> ==> PRN S|<,-NP-VP-.> [1.0]
VP|<PP-,-NP-PP> ==> PP VP|<,-NP-PP> [1.0]
VP|<NP-PRT> ==> NP PRT [1.0]
VP|<:-VP-:-VP> ==> : VP|<VP-:-VP> [1.0]
PP|<IN-S> ==> IN S [1.0]
NP|<NNP-CC-JJ-NNS> ==> NNP NP|<CC-JJ-NNS> [1.0]
S ==> S S|<,-NP-VP-.-''> [3.16890250343E-4]
ADJP|<''-JJR> ==> '' JJR [1.0]
VP|<CC-VP-NP-PP> ==> CC VP|<VP-NP-PP> [1.0]
S|<,-ADVP-,-NP-VP-.> ==> , S|<ADVP-,-NP-VP-.> [1.0]
NP|<NNP-NNP-NNP-JJ-VBG> ==> NNP NP|<NNP-NNP-JJ-VBG> [1.0]
NP|<CC-NN-NN-POS> ==> CC NP|<NN-NN-POS> [1.0]
NP ==> DT NP|<NNS-CC-VBZ> [3.24685866424E-5]
NP ==> ADJP NP|<NN-NNS-NN> [3.24685866424E-5]
VP|<NP-ADVP-,-ADVP> ==> NP VP|<ADVP-,-ADVP> [1.0]
NP ==> NAC POS [9.74057599273E-5]
ADVP ==> VBN PP [0.0010718113612]
S ==> SBAR S|<NP-VP> [4.22520333791E-4]
PRN|<PP-,-NP-:> ==> PP PRN|<,-NP-:> [1.0]
VP ==> NN VP [6.90846286701E-5]
VP|<ADVP-PP-,-NP> ==> ADVP VP|<PP-,-NP> [1.0]
ADJP ==> `` ADJP|<RB-VBN-''-PP> [8.09061488673E-4]
PP ==> RB S [2.14546234714E-4]
VP ==> VBN VP|<NP-SINV> [6.90846286701E-5]
S ==> CC S|<NP-PRN-ADVP-VP-.> [1.05630083448E-4]
NP|<JJ-JJ-NNS> ==> JJ NP|<JJ-NNS> [1.0]
QP|<CD-IN-CD> ==> CD QP|<IN-CD> [1.0]
NP ==> NNP NP|<NNP-NN-NNP-NNP> [1.62342933212E-4]
NP ==> NP NP|<CC-NP-CC-NP-CC-NP> [6.49371732848E-5]
NP ==> DT NP|<NNP-NNP-NNP-NN-NN> [9.74057599273E-5]
NP ==> NNP NP|<NNP-NNP-NNPS> [3.24685866424E-5]
VP|<VP-CC-VP-,-PP> ==> VP VP|<CC-VP-,-PP> [1.0]
NP|<,-S> ==> , S [1.0]
NP ==> NP NP|<,-NP-,-ADJP-,> [3.24685866424E-5]
VP|<TO-VP> ==> TO VP [1.0]
ADJP|<CC-RB> ==> CC RB [1.0]
NP ==> `` NP|<RB-JJ-''-NNS> [3.24685866424E-5]
NP|<NN-CC-JJ-NN-NN> ==> NN NP|<CC-JJ-NN-NN> [1.0]
NP ==> NP NP|<NN-NN-NNS> [9.74057599273E-5]
NP|<VBG-NNP> ==> VBG NNP [1.0]
NP|<JJ-NN-PRN-NN> ==> JJ NP|<NN-PRN-NN> [1.0]
VP|<,-RB-NP> ==> , VP|<RB-NP> [1.0]
NP ==> DT NP|<JJ-VBG-NNS-POS> [3.24685866424E-5]
NP|<JJ-NN-``-NN-''-NN> ==> JJ NP|<NN-``-NN-''-NN> [1.0]
S|<S-,-''-''-NP-VP-.> ==> S S|<,-''-''-NP-VP-.> [1.0]
NP|<NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> ==> NP NP|<:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> [1.0]
ADVP ==> RB JJ [0.0021436227224]
NP|<NN-CC-NN-NN-NNS> ==> NN NP|<CC-NN-NN-NNS> [1.0]
NP|<CC-VBG-NN> ==> CC NP|<VBG-NN> [1.0]
NP ==> NN NP|<VBD-NNS> [3.24685866424E-5]
ADVP|<DT-JJ> ==> DT JJ [1.0]
VP|<CC-VBG-PRN-PP> ==> CC VP|<VBG-PRN-PP> [1.0]
NP ==> NP NP|<NN-JJ> [6.49371732848E-5]
NP|<JJ-NP-NN> ==> JJ NP|<NP-NN> [1.0]
NP|<NNP-,-PP-,> ==> NNP NP|<,-PP-,> [1.0]
NP ==> NP NP|<,-VP-,-SBAR> [3.24685866424E-5]
PP ==> NP PP|<IN-S> [2.14546234714E-4]
S ==> `` S|<IN-NP-VP-.-''> [1.05630083448E-4]
VP ==> VP VP|<:-NP> [1.3816925734E-4]
NP|<NP-,-CONJP-NP-CC-,-PP-,-NP> ==> NP NP|<,-CONJP-NP-CC-,-PP-,-NP> [1.0]
VP ==> VP VP|<CONJP-VP-PP> [6.90846286701E-5]
FRAG|<CC-SBAR-.-''> ==> CC FRAG|<SBAR-.-''> [1.0]
NP ==> DT NP|<NNP-CC-JJ-NNS> [3.24685866424E-5]
QP|<CD-NNS> ==> CD NNS [1.0]
VP ==> VB VP|<PP-PP-S> [6.90846286701E-5]
S|<:-ADVP-,-NP-VP-.> ==> : S|<ADVP-,-NP-VP-.> [1.0]
PP ==> ADVP PP|<``-IN-NP> [1.07273117357E-4]
NP ==> NP NP|<``-SBAR> [3.24685866424E-5]
NP ==> NP NP|<CC-RB-NP> [3.24685866424E-5]
NP ==> DT NP|<NNPS-NNP> [3.24685866424E-5]
SINV|<VP-NP-.-``> ==> VP SINV|<NP-.-``> [1.0]
S|<FRAG-''-VP-.> ==> FRAG S|<''-VP-.> [1.0]
NP ==> CD NP|<NNP-NN-NNS> [3.24685866424E-5]
VP ==> VBG VP|<NP-PP-,-S> [6.90846286701E-5]
NP ==> NNPS NP|<``-NNP-''-NNP-NNP> [3.24685866424E-5]
NP ==> DT NP|<NNP-NNPS-NNP-CC-NNP-NNP-NNP> [3.24685866424E-5]
NP|<:-RB-NP-.> ==> : NP|<RB-NP-.> [1.0]
QP|<CC-CD-NN> ==> CC QP|<CD-NN> [1.0]
NP ==> NP NP|<ADJP-NN> [1.62342933212E-4]
NP ==> DT NP|<NN-NNS-NN-NN> [3.24685866424E-5]
NP ==> DT PRP [6.49371732848E-5]
NX ==> JJ NX|<NN-NNS> [0.00729927007299]
NP|<NNP-CD-NNP-CD> ==> NNP NP|<CD-NNP-CD> [1.0]
NP ==> DT NP|<NN-:-NNP-NNP-NN> [3.24685866424E-5]
NP ==> NP NP|<NN-CC-NN-NNS> [3.24685866424E-5]
PP|<RB-PP-,-RB-PP> ==> RB PP|<PP-,-RB-PP> [1.0]
QP|<IN-DT-JJ> ==> IN QP|<DT-JJ> [1.0]
S ==> NP S|<PP-VP> [5.28150417239E-4]
NP|<NP-,-''-SBAR> ==> NP NP|<,-''-SBAR> [1.0]
NP|<NNP-,-NNP-CC-NNP-NNS> ==> NNP NP|<,-NNP-CC-NNP-NNS> [1.0]
NP ==> NNP NP|<IN-NNP> [3.24685866424E-5]
NAC|<NNS-PP> ==> NNS PP [1.0]
S|<,-ADVP-ADVP=3> ==> , S|<ADVP-ADVP=3> [1.0]
VP|<NP-:-S> ==> NP VP|<:-S> [1.0]
VP ==> VBD VP|<NP-PP-,-PP> [6.21761658031E-4]
VP ==> VBP VP|<CC-VBP-NP> [6.90846286701E-5]
NP ==> NP NP|<CC-NP-CC-NP> [3.24685866424E-5]
VP ==> VBZ VP|<RB-ADVP> [1.3816925734E-4]
PP ==> ADVP PP|<PP-PP> [1.07273117357E-4]
NP ==> `` NP|<NNP-''-NNS> [6.49371732848E-5]
NP|<JJ-NN-NNS-NN> ==> JJ NP|<NN-NNS-NN> [1.0]
NP|<,-PP-NP-,> ==> , NP|<PP-NP-,> [1.0]
PRN|<ADVP-PP-:> ==> ADVP PRN|<PP-:> [1.0]
VP|<S-''> ==> S '' [1.0]
S|<VP-:-.> ==> VP S|<:-.> [1.0]
NP|<NNP-POS-NNP> ==> NNP NP|<POS-NNP> [1.0]
S ==> ADVP S|<PRN-``-NP-VP-.-''> [1.05630083448E-4]
NP|<NNS-NNS-NN> ==> NNS NP|<NNS-NN> [1.0]
NP ==> DT NP|<NNP-NNP-NNP-JJ-NN-NN-NN> [3.24685866424E-5]
VP|<PRN-NP> ==> PRN NP [1.0]
VP|<NP-,-ADVP-,> ==> NP VP|<,-ADVP-,> [1.0]
PP|<IN-IN-NP> ==> IN PP|<IN-NP> [1.0]
NP|<PP-,-SBAR> ==> PP NP|<,-SBAR> [1.0]
NP ==> ADJP NP|<CD-NN-JJ-NNS> [3.24685866424E-5]
VP ==> VBN VP|<S-SBAR> [4.14507772021E-4]
SINV ==> VB SINV|<VP-NP> [0.0050]
NP|<DT-NNP-JJ-NN-NNS> ==> DT NP|<NNP-JJ-NN-NNS> [1.0]
NP|<JJ-''-NN-NNS> ==> JJ NP|<''-NN-NNS> [1.0]
VP|<SQ-.-''-ADVP> ==> SQ VP|<.-''-ADVP> [1.0]
NP ==> DT NP|<JJ-DT> [1.2987434657E-4]
VP ==> VBN VP|<S-,-PP> [6.90846286701E-5]
QP ==> RB QP|<CD-IN-DT-CD> [0.00126582278481]
RRC ==> ADJP NP [0.1]
NP ==> VBG NNP [3.24685866424E-5]
VP ==> VBD VP|<ADJP-PP-,-PP> [2.0725388601E-4]
NP|<NNP-,-CC-NNP> ==> NNP NP|<,-CC-NNP> [1.0]
S ==> RB S|<,-SBAR-,-NP-VP-.> [1.05630083448E-4]
VP ==> VBP VP|<NP-PP> [0.00310880829016]
UCP|<NN-,-NNS-CC-NN> ==> NN UCP|<,-NNS-CC-NN> [1.0]
S|<SQ-''-NP-VP-.> ==> SQ S|<''-NP-VP-.> [1.0]
QP ==> IN CD [0.0493670886076]
NP|<VBN-NN-NN> ==> VBN NP|<NN-NN> [1.0]
NP|<CC-NP-,-ADVP> ==> CC NP|<NP-,-ADVP> [1.0]
NP ==> PRP$ NP|<``-JJ-''-NX> [3.24685866424E-5]
NP|<NN-NN-> ==> NN NP|<NN-> [1.0]
VP ==> VB VP|<NP-,-NP> [6.90846286701E-5]
NP|<NN-JJR> ==> NN JJR [1.0]
VP|<NP-``-PP-''> ==> NP VP|<``-PP-''> [1.0]
S|<PRN-NP-``-VP-.> ==> PRN S|<NP-``-VP-.> [1.0]
VP|<NP-SBAR-,-S> ==> NP VP|<SBAR-,-S> [1.0]
NP|<JJ-NNS-''> ==> JJ NP|<NNS-''> [1.0]
NP ==> RB JJR [9.74057599273E-5]
NP ==> DT NP|<NNP-NNP-NNP-NNP-NNP> [1.2987434657E-4]
NP ==> DT NP|<NNS-,-NNS-,-NNS-CC-NNS> [3.24685866424E-5]
NP|<,-NP-CC-NP> ==> , NP|<NP-CC-NP> [1.0]
UCP ==> SBAR UCP|<:-PP> [0.025641025641]
VP|<ADJP-PRN-S> ==> ADJP VP|<PRN-S> [1.0]
VP ==> VBZ SINV [1.3816925734E-4]
VP ==> VBD VP|<PP-,-SBAR> [2.7633851468E-4]
NP ==> IN NP|<JJ-NN-NN> [3.24685866424E-5]
NP|<JJ-JJ-JJ-NN> ==> JJ NP|<JJ-JJ-NN> [1.0]
NP ==> NP NP|<:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-NP-:-CC-NP> [3.24685866424E-5]
VP ==> VB VP|<PP-:-SBAR> [6.90846286701E-5]
NP ==> NP NP|<PP-POS> [3.24685866424E-5]
QP ==> RBR QP|<IN-DT> [0.00126582278481]
NP ==> CD NP|<CD-NNS> [9.74057599273E-5]
ADJP ==> JJR SBAR [8.09061488673E-4]
FRAG ==> WHADVP ADJP [0.00961538461538]
ADJP|<JJ-SBAR> ==> JJ SBAR [1.0]
VP|<NP-NP-SBAR> ==> NP VP|<NP-SBAR> [1.0]
NP|<JJ-NN-.> ==> JJ NP|<NN-.> [1.0]
NP|<IN-DT-NNP> ==> IN NP|<DT-NNP> [1.0]
SQ ==> VBZ SQ|<NP-ADJP> [0.0294117647059]
VP ==> VBN VP|<NP-NP-PP-NP> [6.90846286701E-5]
VP ==> VBN VP|<PP-,-ADVP> [6.90846286701E-5]
NP|<:-NP-:-NP-:-NP-,-CC-NP> ==> : NP|<NP-:-NP-:-NP-,-CC-NP> [1.0]
NP ==> NNP NP|<NNP-NNP-NN-NNP-NNP> [3.24685866424E-5]
VP|<VBD-NP-,-NP> ==> VBD VP|<NP-,-NP> [1.0]
ADJP ==> JJ ADJP|<PP-PP> [0.00161812297735]
NP|<,-NP-,-PP-.> ==> , NP|<NP-,-PP-.> [1.0]
PP|<TO-SBAR> ==> TO SBAR [1.0]
S|<,-CC-,-S-.> ==> , S|<CC-,-S-.> [1.0]
NP|<NN-CC-NNS> ==> NN NP|<CC-NNS> [1.0]
S ==> NP S|<VP-,-CC-S-.> [2.11260166896E-4]
S|<PRN-SBAR-,-NP-VP-.> ==> PRN S|<SBAR-,-NP-VP-.> [1.0]
VP|<VBD-NP-NP-,-S> ==> VBD VP|<NP-NP-,-S> [1.0]
NP|<JJ-NNP-NNP-NNP-NN> ==> JJ NP|<NNP-NNP-NNP-NN> [1.0]
VP ==> VBG VP|<NP-S> [0.00103626943005]
VP ==> VBN VP|<ADVP-PP> [4.14507772021E-4]
NP|<,-NP-,-PP> ==> , NP|<NP-,-PP> [1.0]
NP|<NP-ADVP> ==> NP ADVP [1.0]
NP|<NNP-JJ> ==> NNP JJ [1.0]
VP|<NP-PP-SBAR-:-PP> ==> NP VP|<PP-SBAR-:-PP> [1.0]
VP ==> VBZ PP [0.00566493955095]
NP ==> PRP$ NP|<NAC-NN> [6.49371732848E-5]
NP|<NP-SBAR> ==> NP SBAR [1.0]
FRAG|<PP-,-PP-.> ==> PP FRAG|<,-PP-.> [1.0]
S|<:-SBARQ> ==> : SBARQ [1.0]
VP|<NP-NP-,-CC-NP> ==> NP VP|<NP-,-CC-NP> [1.0]
NP ==> JJ NP|<,-JJ-``-NNS-''> [3.24685866424E-5]
NP|<''-NNP> ==> '' NNP [1.0]
PRN|<,-NP--,> ==> , PRN|<NP--,> [1.0]
NP|<NNP-NNP-NNPS-NNP-NNP> ==> NNP NP|<NNP-NNPS-NNP-NNP> [1.0]
VP ==> VBN VP|<NP-NP-ADVP-PP> [6.90846286701E-5]
NP ==> DT NP|<CD-VBN-NNS> [6.49371732848E-5]
QP|<DT-NN> ==> DT NN [1.0]
QP|<TO-CD-NN> ==> TO QP|<CD-NN> [1.0]
VP ==> VBZ VP|<PP-ADVP> [3.45423143351E-4]
ADVP|<NP-PP> ==> NP PP [1.0]
VP|<,-``-SQ-.-''-ADVP> ==> , VP|<``-SQ-.-''-ADVP> [1.0]
VP|<VBZ-PP-NP> ==> VBZ VP|<PP-NP> [1.0]
SBAR ==> WHNP SBAR|<IN-S> [0.00132684652808]
NP|<:-VP> ==> : VP [1.0]
NP ==> NP NP|<``-NX-''-PRN> [3.24685866424E-5]
SQ ==> CC SQ|<MD-NP-VP-.> [0.0294117647059]
NP|<NNPS-CC-NNPS> ==> NNPS NP|<CC-NNPS> [1.0]
PRN|<NP-,-IN-S-:> ==> NP PRN|<,-IN-S-:> [1.0]
NP ==> NP NP|<''-SBAR> [1.2987434657E-4]
NP|<NNP-CC-NNP-NNS> ==> NNP NP|<CC-NNP-NNS> [1.0]
S|<VP-SBAR> ==> VP SBAR [1.0]
NP|<``-NN-''-NN> ==> `` NP|<NN-''-NN> [1.0]
NP ==> NP NP|<ADJP-NP> [3.24685866424E-5]
WHNP ==> DT WHPP [0.00133155792277]
FRAG ==> ADVP ADVP [0.00961538461538]
NP|<ADJP-NNP-NNS> ==> ADJP NP|<NNP-NNS> [1.0]
SBARQ|<SQ-.> ==> SQ . [1.0]
NP ==> NNP NP|<.-NNP> [3.24685866424E-5]
VP|<NP-PP-,-ADVP-PP> ==> NP VP|<PP-,-ADVP-PP> [1.0]
VP|<CC-VB-NP-PP-ADVP> ==> CC VP|<VB-NP-PP-ADVP> [1.0]
NP ==> NNP NP|<NN-VBN-NNS> [3.24685866424E-5]
NP|<CC-NNS-VBG-NN> ==> CC NP|<NNS-VBG-NN> [1.0]
ADJP ==> RBS ADJP|<RB-JJ> [8.09061488673E-4]
VP ==> ADVP VP|<VB-NP-,-PP> [6.90846286701E-5]
VP|<ADJP-S> ==> ADJP S [1.0]
NP|<ADJP-NNP-NNP-NN> ==> ADJP NP|<NNP-NNP-NN> [1.0]
NP ==> NP NP|<NN-CC-NN-NN-NN> [6.49371732848E-5]
VP ==> VBZ VP|<``-NP-,-''> [6.90846286701E-5]
ADJP ==> RB JJR [0.0226537216828]
ADJP|<,-ADJP-,-ADJP-CC-ADJP> ==> , ADJP|<ADJP-,-ADJP-CC-ADJP> [1.0]
NP|<,-''> ==> , '' [1.0]
QP ==> RBR QP|<IN-CD> [0.0101265822785]
ADJP|<RB-JJ> ==> RB JJ [1.0]
VP ==> ADVP VP|<VBN-NP-PP> [8.98100172712E-4]
PP|<,-''-CC-PP> ==> , PP|<''-CC-PP> [1.0]
NP ==> PRP$ NP|<NNP-CD-NN> [6.49371732848E-5]
SBAR ==> RB SBAR|<WHADVP-S> [4.42282176028E-4]
PRN|<PP-:> ==> PP : [1.0]
SINV|<''-VP-NP-.> ==> '' SINV|<VP-NP-.> [1.0]
NP|<NN-,-NNP-NNP-NN> ==> NN NP|<,-NNP-NNP-NN> [1.0]
NP|<NNP-NNP-CC-NNP-NNPS-NNP> ==> NNP NP|<NNP-CC-NNP-NNPS-NNP> [1.0]
PRN|<WHNP-,> ==> WHNP , [1.0]
VP|<VP-''> ==> VP '' [1.0]
S ==> NP S|<VP-:-``-S> [1.05630083448E-4]
NP ==> NP NP|<NNP-NN-VBG-NN-NN> [3.24685866424E-5]
NP ==> NN NP|<CC-JJ-NN-NN-NNS> [3.24685866424E-5]
S|<,-SBAR-NP-VP> ==> , S|<SBAR-NP-VP> [1.0]
VP|<VBD-PP-ADVP> ==> VBD VP|<PP-ADVP> [1.0]
S|<S-S> ==> S S [1.0]
VP|<``-ADVP-''-PP> ==> `` VP|<ADVP-''-PP> [1.0]
NP ==> NP NP|<PP-PP-PP-,-ADVP> [3.24685866424E-5]
PRN|<CC-PP> ==> CC PP [1.0]
NP|<NP-''-NNS> ==> NP NP|<''-NNS> [1.0]
NP|<NNP-NNS-CC-NNS> ==> NNP NP|<NNS-CC-NNS> [1.0]
NP|<``-NNP-NNP-NNP-''-NNP> ==> `` NP|<NNP-NNP-NNP-''-NNP> [1.0]
NP|<NNP-NN-NN-JJ-NNS> ==> NNP NP|<NN-NN-JJ-NNS> [1.0]
FRAG|<FRAG-:-FRAG-.> ==> FRAG FRAG|<:-FRAG-.> [1.0]
VP ==> VBD VP|<ADJP-PRN> [6.90846286701E-5]
VP ==> VP VP|<,-RB-VP> [1.3816925734E-4]
VP ==> IN S [1.3816925734E-4]
NP|<JJS-NN-NN-PP> ==> JJS NP|<NN-NN-PP> [1.0]
NP ==> DT NP|<NNP-NNP-NNP-,-PP-,> [3.24685866424E-5]
NP ==> VB NN [6.49371732848E-5]
ADVP ==> NN ADVP|<CC-NN> [5.359056806E-4]
S ==> `` S|<ADVP-,-S-,-CC-S-.-''> [1.05630083448E-4]
NP|<NNP-CD-NNS> ==> NNP NP|<CD-NNS> [1.0]
VP ==> VBN PRT [6.90846286701E-5]
VP|<NP-``-NP> ==> NP VP|<``-NP> [1.0]
VP|<,-ADJP> ==> , ADJP [1.0]
QP ==> RB QP|<DT-NN> [0.00253164556962]
NP|<CD-NNS-QP> ==> CD NP|<NNS-QP> [1.0]
S ==> `` S|<CC-PP-,-NP-VP-.> [1.05630083448E-4]
NP ==> DT NP|<ADJP-NNP-CD-NN> [3.24685866424E-5]
NP|<DT-NNP-CC-NNP-NNP> ==> DT NP|<NNP-CC-NNP-NNP> [1.0]
NP ==> IN NP|<QP--NONE-> [3.24685866424E-5]
S ==> NP S|<,-S-,-VP-.> [0.00105630083448]
PP ==> ADVP PP|<TO-NP> [5.36365586784E-4]
NP|<DT-JJ-NN-''> ==> DT NP|<JJ-NN-''> [1.0]
S|<,-NP-VP-,-''> ==> , S|<NP-VP-,-''> [1.0]
NP ==> NP NP|<:-NP-:-NP-CC-NP> [3.24685866424E-5]
VP ==> VBZ VP|<ADJP-PRN-ADVP> [6.90846286701E-5]
NP|<PP-ADVP-SBAR> ==> PP NP|<ADVP-SBAR> [1.0]
INTJ|<,-NN-,-NN-,-NN> ==> , INTJ|<NN-,-NN-,-NN> [1.0]
NP ==> PRP NP|<CC-NNS> [3.24685866424E-5]
VP ==> VBG VP|<PRT-NP-PP-SBAR> [6.90846286701E-5]
NP ==> NP NP|<PP-PP-NP> [3.24685866424E-5]
NP ==> JJ NP|<``-NN-''> [3.24685866424E-5]
NP|<RB-NP-,> ==> RB NP|<NP-,> [1.0]
UCP|<CC-NN> ==> CC NN [1.0]
NP|<NP-,-''-PP> ==> NP NP|<,-''-PP> [1.0]
NP ==> NP NP|<:-ADJP> [3.24685866424E-5]
VP ==> VBG VP|<NP-PP-PP-PP> [6.90846286701E-5]
S|<PRN-,-``-CC-S-.-''> ==> PRN S|<,-``-CC-S-.-''> [1.0]
NP ==> NN NP|<CC-DT> [3.24685866424E-5]
VP ==> VBD VP|<``-VP> [6.90846286701E-5]
PP ==> DT PP|<PP-CC-PP> [2.14546234714E-4]
VP|<PP-,-ADVP-,-PP> ==> PP VP|<,-ADVP-,-PP> [1.0]
VP|<,-CC-VP-,-NP> ==> , VP|<CC-VP-,-NP> [1.0]
NP ==> DT NP|<JJ-NNP-NNP-CC-NNP-NNP-NNP> [3.24685866424E-5]
VP ==> VB VP|<PP-ADVP> [3.45423143351E-4]
NP ==> CD NP|<NNS-QP> [3.24685866424E-5]
NP ==> DT NP|<NNP-NNP-NNS> [1.94811519855E-4]
NP ==> NP NP|<CC-ADVP-NP> [1.2987434657E-4]
VP ==> VP PRN [6.90846286701E-5]
PRN ==> : PRN|<``-PP-''-:> [0.00334448160535]
S ==> S S|<,-NP-ADVP-VP-.> [3.16890250343E-4]
VP|<VBD-SBAR> ==> VBD SBAR [1.0]
NP ==> NP NP|<,-NP-,-VP-,> [3.24685866424E-5]
